"Código Producto","Producto"
"0101","TRIGO"
"0102","OTROS CEREALES (EXCL. MAÍZ Y ARROZ)"
"0103","LEGUMBRES"
"0104","SEMILLAS OLEAGINOSAS"
"0201","MAÍZ"
"0301","ARROZ"
"0401","HORTALIZAS DE HOJA O DE TALLO"
"0402","SANDÍAS"
"0403","MELONES"
"0404","TOMATES"
"0405","OTRAS HORTALIZAS "
"0406","CEBOLLAS"
"0407","PAPAS"
"0408","ÑAME"
"0409","OTRAS RAÍCES Y TUBÉRCULOS"
"0501","BANANO"
"0502","CÍTRICOS"
"0503","OTRAS FRUTAS"
"0601","FRUTAS OLEAGINOSAS"
"0701","CAÑA DE AZÚCAR"
"0801","CAFÉ EN GRANOS"
"0802","OTRAS PLANTAS BEBESTIBLES"
"0901","PLANTAS AROMÁTICAS, MEDICINALES Y ESPECIAS"
"1001","PLANTAS NO PERENNES"
"1101","PLANTAS VIVAS Y BULBOS "
"1201","GANADO BOVINO"
"1202","GANADO PORCINO"
"1203","AVES DE CORRAL "
"1204","OTROS ANIMALES"
"1301","LECHE CRUDA"
"1302","HUEVOS"
"1303","OTROS ANIMALES Y OTROS PRODUCTOS ANIMALES"
"1401","SERVICIOS DE APOYO A LA AGRICULTURA, LA GANADERÍA Y ACTIVIDADES POSTCOSECHA"
"1501","MADERA EN BRUTO"
"1502","OTROS PRODUCTOS SILVÍCOLAS"
"1601","PESCADOS VIVOS, FRESCOS O REFRIGERADOS"
"1602","CAMARÓN Y OTROS CRUSTÁCEOS VIVOS, FRESCOS O REFRIGERADOS"
"1603","OTROS PRODUCTOS DE LA PESCA"
"1701","MINERALES DE COBRE Y SUS CONCENTRADOS"
"1702","OTROS MINERALES METÁLICOS"
"1801","MINERALES NO METÁLICOS"
"1901","SAL"
"2001","OTROS MINERALES Y SERVICIOS DE APOYO PARA LA EXPLOTACIÓN DE MINAS Y CANTERAS"
"2101","CARNE Y DESPOJOS COMESTIBLES DE GANADO BOVINO"
"2102","CARNE Y DESPOJOS COMESTIBLES DE GANADO PORCINO"
"2103","CARNE Y DESPOJOS COMESTIBLES DE AVES DE CORRAL"
"2104","CARNES Y DESPOJOS COMESTIBLES DE OTROS ANIMALES Y CONSERVAS Y PREPARADOS DE CARNE"
"2105","PESCADO, CRUSTÁCEOS, MOLUSCOS Y DEMÁS INVERTEBRADOS ACUÁTICAS, PREPARADO O EN CONSERVAS Y SUS PRODUCTOS"
"2201","VEGETALES, LEGUMBRES Y PAPAS PREPARADAS Y CONSERVADAS"
"2202","FRUTAS Y NUECES PREPARADAS Y CONSERVADAS"
"2203","ACEITES Y GRASAS DE ORIGEN VEGETAL Y ANIMAL"
"2301","LECHE LÍQUIDA PROCESADA"
"2302","LECHE ENTERA EN POLVO"
"2303","OTROS PRODUCTOS LÁCTEOS N.C.P."
"2401","HARINA DE TRIGO"
"2402","ARROZ SIN CÁSCARA"
"2403","OTROS PRODUCTOS DE MOLINERÍA N.C.P. Y ALMIDONES Y SUS PRODUCTOS, AZUCARES Y JARABES DE AZÚCAR N.C.P."
"2404","PRODUCTOS DE PANADERÍA"
"2405","AZÚCAR"
"2406","CACAO, CHOCOLATE Y ARTÍCULOS DE CONFITERÍA PREPARADOS CON AZÚCAR"
"2407","MACARRONES, FIDEOS Y PRODUCTOS FARINÁCEOS ANÁLOGOS"
"2408","PRODUCTOS ALIMENTICIOS N.C.P"
"2409","PREPARADOS DEL TIPO UTILIZADOS PARA LA ALIMENTACIÓN DE ANIMALES"
"2501","ALCOHOL ETÍLICO, BEBIDAS ALCOHÓLICAS, LICORES Y OTRAS BEBIDAS ALCOHÓLICAS"
"2502","VINOS"
"2503","LICORES DE MALTA Y MALTA"
"2504","BEBIDAS NO ALCOHÓLICAS, AGUAS MINERALES EMBOTELLADAS"
"2601","PRODUCTOS DE TABACO"
"2701","HILADOS E HILOS, TEJIDOS Y TEJIDOS TEXTILES CON PELO INSERTADO"
"2702","ARTÍCULOS TEXTILES EXCEPTO PRENDAS DE VESTIR"
"2703","TEJIDOS DE PUNTO O GANCHILLO; PRENDAS DE VESTIR; PIELES FINAS Y ARTIFICIALES"
"2801","CUERO, CURTIDO O ADOBADO Y CUERO ARTIFICIAL O REGENERADO"
"2802","ARTÍCULOS DE CUERO"
"2803","CALZADO Y PARTES DE CALZADO"
"2901","MADERA ASERRADA Y ACEPILLADA"
"2902","PRODUCTOS DE MADERA, EXCEPTO MUEBLES; ARTÍCULOS DE CORCHO Y PAJA U OTROS MATERIALES TRENZABLES"
"3001","PASTA DE PAPEL, PAPEL Y CARTÓN"
"3002","PRODUCTOS DE PAPEL Y DE CARTÓN"
"3101","PRODUCTOS DE LA EDICIÓN E IMPRESIÓN"
"3201","GASOLINA PARA MOTORES"
